ID: f1, Nome: Gerente Teste, Cargo: Gerente, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f2, Nome: Atendente Teste, Cargo: Atendente, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f3, Nome: Supervisor Teste, Cargo: Supervisor, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f4, Nome: Estoquista Teste, Cargo: Estoquista, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f1, Nome: Gerente Teste, Cargo: Gerente, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f2, Nome: Atendente Teste, Cargo: Atendente, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f3, Nome: Supervisor Teste, Cargo: Supervisor, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f4, Nome: Estoquista Teste, Cargo: Estoquista, Operação: Criar produto, Data e Hora: 2024-09-24 15:03:45
ID: f1, Nome: Gerente Teste, Cargo: Gerente, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f2, Nome: Atendente Teste, Cargo: Atendente, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f3, Nome: Supervisor Teste, Cargo: Supervisor, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f4, Nome: Estoquista Teste, Cargo: Estoquista, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f1, Nome: Gerente Teste, Cargo: Gerente, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f2, Nome: Atendente Teste, Cargo: Atendente, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f3, Nome: Supervisor Teste, Cargo: Supervisor, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: f4, Nome: Estoquista Teste, Cargo: Estoquista, Operação: Criar produto, Data e Hora: 2024-09-24 15:07:24
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:05:34
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:07:59
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:09:55
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:29:30
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:31:49
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:32:38
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 20:52:17
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Usuário saiu do sistema., Data e Hora: 2024-10-11 21:00:40
ID: 12, Name: anderson, Role: Gerente, Operation: Department added., Date and Time: 2024-10-12 09:08:53
ID: 12, Name: anderson, Role: Gerente, Operation: Sales report generated., Date and Time: 2024-10-12 12:52:34
ID: 12, Name: anderson, Role: Gerente, Operation: Department added., Date and Time: 2024-10-12 12:52:45
ID: 12, Name: anderson, Role: Gerente, Operation: Sales report generated., Date and Time: 2024-10-12 12:52:49
ID: 12, Name: anderson, Role: Gerente, Operation: Product added., Date and Time: 2024-10-12 12:53:03
ID: 12, Name: anderson, Role: Gerente, Operation: Products listed., Date and Time: 2024-10-12 12:53:07
ID: 12, Name: anderson, Role: Gerente, Operation: Product purchased., Date and Time: 2024-10-12 12:53:24
ID: 12, Name: anderson, Role: Gerente, Operation: Client added., Date and Time: 2024-10-12 12:53:40
ID: 12, Name: anderson, Role: Gerente, Operation: Product purchased., Date and Time: 2024-10-12 12:53:50
ID: 12, Name: anderson, Role: Gerente, Operation: Open titles listed., Date and Time: 2024-10-12 12:53:54
ID: 12, Name: anderson, Role: Gerente, Operation: Payment made., Date and Time: 2024-10-12 12:54:07
ID: 12, Name: anderson, Role: Gerente, Operation: Payment made., Date and Time: 2024-10-12 12:54:14
ID: 12, Name: anderson, Role: Gerente, Operation: Product purchased., Date and Time: 2024-10-12 12:54:26
ID: 12, Name: anderson, Role: Gerente, Operation: Payment made., Date and Time: 2024-10-12 12:54:39
ID: 12, Name: anderson, Role: Gerente, Operation: Open titles listed., Date and Time: 2024-10-12 12:54:51
ID: 12, Name: anderson, Role: Gerente, Operation: Clients listed., Date and Time: 2024-10-12 12:55:00
ID: 12, Name: anderson, Role: Gerente, Operation: Payment made., Date and Time: 2024-10-12 12:55:18
ID: 12, Name: anderson, Role: Gerente, Operation: Sales report generated., Date and Time: 2024-10-12 12:55:25
ID: 12, Name: anderson, Role: Gerente, Operation: Employees listed., Date and Time: 2024-10-12 12:55:42
ID: 12, Name: anderson, Role: Gerente, Operation: Visualizar Acessos, Date and Time: 2024-10-12 13:17:07
ID: 12, Name: anderson, Role: Gerente, Operation: User exited the system., Date and Time: 2024-10-12 13:20:41
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Departamento adicionado., Data e Hora: 2024-10-19 09:55:13
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Departamento adicionado., Data e Hora: 2024-10-19 09:58:22
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Clientes listados., Data e Hora: 2024-10-19 20:14:40
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Clientes listados., Data e Hora: 2024-10-19 20:16:50
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Cliente adicionado., Data e Hora: 2024-10-19 20:17:07
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Clientes listados., Data e Hora: 2024-10-19 21:05:19
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Produtos listados., Data e Hora: 2024-10-19 21:05:25
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Departamento adicionado., Data e Hora: 2024-10-19 21:09:09
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Produtos listados., Data e Hora: 2024-10-19 21:13:05
ID: 12, Nome: anderson, Cargo: Gerente, Operação: Produtos listados., Data e Hora: 2024-10-19 21:14:12
